name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
50,0.719223,2,0,111,2,1,1,1
50,0.52502,1,0,126,3,4,2,2
50,0.930143,2,0,12,1,12,1,1
50,0.56846,2,0,70,2,12,1,1
50,0.676469,2,0,122,3,4,2,2
50,0.604005,2,0,132,3,4,1,1
50,0.574813,1,0,137,4,3,3,2
50,0.634753,2,0,83,3,12,1,1
50,0.54018,1,0,16,2,10,1,1
50,0.520538,2,0,27,3,9,1,1
50,0.430877,1,0,54,1,10,1,1
50,0.624809,2,0,73,3,9,3,2
50,0.602465,2,0,90,4,10,1,1
50,0.637385,2,0,2,1,9,1,1
50,0.614171,1,0,104,1,2,1,1
50,0.559543,1,0,114,2,1,3,2
50,0.533086,1,0,84,3,12,0,2
50,0.553981,2,0,30,3,10,1,1
50,0.566722,1,0,97,1,2,3,2
50,0.522941,2,0,27,3,9,1,1
50,0.664303,1,0,7,1,11,1,1
50,0.616412,2,0,64,2,10,3,2
50,0.578851,2,0,86,4,9,2,2
50,0.581693,2,0,103,1,2,2,2
50,0.728949,2,0,24,2,12,1,1
50,0.437119,2,0,23,2,12,1,1
50,0.479294,1,0,10,1,12,1,1
50,1.046174,2,0,43,4,11,1,1
50,0.495293,2,0,51,1,9,2,2
50,0.534308,2,0,132,3,4,1,1
50,0.827648,2,0,83,3,12,1,1
50,0.510369,1,0,42,4,10,1,1
50,0.972062,2,0,100,1,2,3,2
50,0.600597,2,0,110,2,1,3,2
50,0.611829,2,0,96,4,12,0,2
50,0.469669,1,0,121,3,4,2,2
50,0.532905,2,0,39,4,9,1,1
50,0.522784,1,0,35,3,12,1,1
50,0.512828,1,0,115,2,1,2,2
50,0.534945,1,0,54,1,10,1,1
50,0.500651,1,0,125,3,4,3,2
50,0.410433,1,0,89,4,10,1,1
50,0.613341,1,0,20,2,11,1,1
50,0.5182,1,0,46,4,12,1,1
50,0.621,2,0,134,4,3,2,2
50,0.5912,2,0,124,3,4,1,1
50,1.441737,2,0,123,3,4,3,2
50,0.443517,1,0,128,3,4,1,1
50,0.580518,1,0,56,1,11,0,2
50,0.520385,1,0,49,1,9,2,2
50,0.598064,2,0,139,4,3,1,1
50,0.616635,1,0,34,3,12,1,1
50,0.769806,1,0,19,2,11,1,1
50,0.870751,1,0,98,1,2,2,2
50,1.246194,2,0,82,3,12,0,2
50,0.959236,2,0,107,1,2,1,1
50,0.547199,1,0,126,3,4,2,2
50,0.823923,2,0,90,4,10,1,1
