name,rt,pair,foil,trial,error,first_press
21,1.98192,2,2,4,0,1
21,3.083195,2,1,7,1,2
21,3.931812,1,1,5,0,2
21,3.371517,1,2,6,0,2
21,2.873463,2,2,8,1,2
22,8.614624,1,1,5,1,2
22,4.532401,2,1,7,0,2
22,1.470327,2,2,4,1,1
22,1.697201,2,2,8,0,2
22,2.771235,1,2,2,0,1
22,2.894317,1,2,6,0,2
22,5.20456,2,1,3,0,1
22,2.346013,1,1,1,0,1
23,2.854426,1,2,2,1,1
23,1.730101,1,1,5,0,2
23,1.585716,2,1,7,1,2
23,1.726867,2,1,3,0,1
23,2.294975,2,2,8,1,2
23,2.023307,1,2,6,0,2
23,1.780113,2,2,4,0,1
23,1.6742,1,1,1,0,1
24,1.690982,2,2,4,0,1
24,1.244609,1,1,1,0,1
24,1.279768,2,1,3,0,1
24,2.088961,2,2,8,0,2
24,1.77815,2,1,7,1,2
24,2.784981,1,2,2,1,1
24,1.734017,1,1,5,0,2
24,1.396956,1,2,6,0,2
25,1.708301,2,2,4,1,1
25,3.012324,2,2,8,0,2
25,1.265924,1,2,6,1,2
25,1.034826,1,1,1,1,1
25,1.430773,2,1,3,0,1
25,2.306817,1,2,2,1,1
25,1.130958,1,1,5,1,2
25,1.227406,2,1,7,0,2
26,2.464423,2,1,3,0,1
26,2.105795,1,1,5,0,2
26,2.457889,1,2,6,0,2
26,2.853443,2,2,8,1,2
26,2.847661,2,2,4,0,1
26,1.378079,1,1,1,0,1
26,1.240403,1,2,2,1,1
26,1.033858,2,1,7,0,2
27,2.172962,1,2,2,0,1
27,1.888497,2,2,8,0,2
27,3.841899,2,2,4,1,1
27,2.607162,2,1,7,0,2
27,2.242404,1,2,6,0,2
27,4.436104,1,1,5,1,2
27,2.139079,2,1,3,0,1
27,1.680513,1,1,1,1,1
28,3.455934,2,2,8,1,2
28,1.906638,1,1,1,1,1
28,1.955509,1,1,5,0,2
28,1.625768,1,2,6,1,2
28,1.621894,2,1,7,0,2
28,1.953791,2,2,4,0,1
28,1.360418,1,2,2,1,1
28,1.998685,2,1,3,1,1
29,3.649167,2,1,7,0,2
29,3.440347,2,2,4,0,1
29,3.944256,2,1,3,1,1
29,1.58662,1,2,2,1,1
29,1.633038,1,1,5,1,2
29,2.572298,1,2,6,0,2
29,3.079846,2,2,8,1,2
29,3.990703,1,1,1,0,1
30,3.230457,1,2,2,0,1
30,1.449636,1,1,5,1,2
30,3.724043,1,1,1,0,1
30,4.075349,1,2,6,1,2
30,4.069592,2,2,4,0,1
30,4.687215,2,1,3,1,1
30,3.304702,2,1,7,0,2
30,2.121918,2,2,8,0,2
31,2.609977,2,2,8,0,2
31,2.259534,2,1,3,0,1
31,1.780759,1,2,6,0,2
31,2.017659,2,1,7,1,2
31,1.46216,1,1,5,0,2
31,2.104632,1,1,1,0,1
31,2.536533,1,2,2,0,1
31,1.390363,2,2,4,0,1
